# schema=raw-v1 source=oanda instrument=EURUSD tf=h1 year=2024 month=06
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2024-06-03T00:00:00Z,1.10500,1.10550,1.10450,1.10500,1.10520,1.10570,1.10470,1.10520,100,true
2024-06-03T01:00:00Z,1.10500,1.10550,1.10350,1.10400,1.10520,1.10570,1.10370,1.10420,100,true
2024-06-03T02:00:00Z,1.10400,1.10450,1.10250,1.10300,1.10420,1.10470,1.10270,1.10320,100,true
2024-06-03T03:00:00Z,1.10300,1.10350,1.10150,1.10200,1.10320,1.10370,1.10170,1.10220,100,true
2024-06-03T04:00:00Z,1.10200,1.10250,1.10050,1.10100,1.10220,1.10270,1.10070,1.10120,100,true
2024-06-03T05:00:00Z,1.10100,1.10150,1.09950,1.10000,1.10120,1.10170,1.09970,1.10020,100,true
2024-06-03T06:00:00Z,1.10000,1.10050,1.09900,1.09950,1.10020,1.10070,1.09920,1.09970,100,true
2024-06-03T07:00:00Z,1.09950,1.10000,1.09900,1.09950,1.09970,1.10020,1.09920,1.09970,100,true
2024-06-03T08:00:00Z,1.09950,1.10000,1.09900,1.09950,1.09970,1.10020,1.09920,1.09970,100,true
2024-06-03T09:00:00Z,1.09950,1.11050,1.09900,1.11000,1.09970,1.11070,1.09920,1.11020,100,true
2024-06-03T10:00:00Z,1.11000,1.11200,1.10900,1.11100,1.11020,1.11220,1.10920,1.11120,100,true
2024-06-03T11:00:00Z,1.11100,1.11500,1.11000,1.11400,1.11120,1.11520,1.11020,1.11420,100,true
2024-06-03T12:00:00Z,1.11400,1.12000,1.11300,1.11900,1.11420,1.12020,1.11320,1.11920,100,true
2024-06-03T13:00:00Z,1.11900,1.11950,1.09000,1.09500,1.11920,1.11970,1.09020,1.09520,100,true
2024-06-03T14:00:00Z,1.09500,1.09550,1.09450,1.09500,1.09520,1.09570,1.09470,1.09520,100,true
2024-06-03T15:00:00Z,1.09500,1.09550,1.09450,1.09500,1.09520,1.09570,1.09470,1.09520,100,true
