episode,exit_date,exit_price,reentry_date,reentry_price,days_flat,post_exit_low_date,post_exit_low,further_decline_pct,reentry_vs_exit_pct,rebound_before_reentry_pct,max_defensive_advantage,captured_advantage,capture_ratio,classification,at_post_exit_low_sma200_distance,at_post_exit_low_sma20,at_post_exit_low_sma50,at_post_exit_low_atr14,at_post_exit_low_highest_high_since_exit,at_reentry_sma200_distance,at_reentry_sma20,at_reentry_sma50,at_reentry_atr14,at_reentry_highest_high_since_exit,at_reentry_lowest_low_since_exit,candidate_above_sma_trigger_date,candidate_above_sma_days_earlier,candidate_reclaim_exit_trigger_date,candidate_reclaim_exit_days_earlier,candidate_reclaim_exit_matches_actual,breakout_2_trigger_date,breakout_2_days_earlier,breakout_3_trigger_date,breakout_3_days_earlier,breakout_5_trigger_date,breakout_5_days_earlier,breakout_10_trigger_date,breakout_10_days_earlier,rebound_2pct_trigger_date,rebound_2pct_days_earlier,rebound_3pct_trigger_date,rebound_3pct_days_earlier,rebound_5pct_trigger_date,rebound_5pct_days_earlier
0,2006-06-08,96.860000,2006-06-30,98.400000,22,2006-06-14,94.376300,0.025642,0.015899,0.042635,2.483700,-1.540000,-0.620043,good-defensive-exit,-0.021280,97.439480,99.427428,1.364500,97.959300,0.007669,96.507885,98.524670,1.215300,98.514400,94.376300,2006-06-30,0.000000,2006-06-16,14.000000,false,2006-06-16,14.000000,2006-06-16,14.000000,2006-06-30,0.000000,2006-06-30,0.000000,2006-06-16,14.000000,2006-06-16,14.000000,,0.000000
1,2006-07-13,96.820000,2006-07-26,97.670000,13,2006-07-18,94.422900,0.024758,0.008779,0.034389,2.397100,-0.850000,-0.354595,good-defensive-exit,-0.020161,96.846815,97.634892,1.055429,96.953800,0.001334,97.121825,97.123750,1.251693,98.370500,94.422900,2006-07-26,0.000000,2006-07-20,6.000000,false,2006-07-20,6.000000,2006-07-20,6.000000,2006-07-26,0.000000,,0.000000,2006-07-20,6.000000,2006-07-25,1.000000,,0.000000
2,2006-08-10,97.610000,2006-08-11,98.160000,1,2006-08-10,97.404000,0.002110,0.005635,0.007761,0.206000,-0.550000,-2.669903,whipsaw,0.002038,97.571705,97.243966,1.157500,98.409800,-0.001356,97.706690,97.217734,1.087079,98.409800,97.404000,2006-08-11,0.000000,,0.000000,false,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000
3,2006-08-14,98.500000,2006-08-16,99.780000,2,2006-08-14,97.921200,0.005876,0.012995,0.018983,0.578800,-1.280000,-2.211472,whipsaw,-0.000803,97.852580,97.189360,1.063107,98.868900,0.019267,98.191545,97.258126,1.066643,100.219000,97.921200,2006-08-16,0.000000,2006-08-16,0.000000,true,2006-08-16,0.000000,2006-08-16,0.000000,2006-08-16,0.000000,,0.000000,,0.000000,,0.000000,,0.000000
4,2007-08-16,107.860000,2007-08-23,113.720000,7,2007-08-16,105.702000,0.020007,0.054330,0.075855,2.158000,-5.860000,-2.715477,good-defensive-exit,-0.023249,113.409050,115.751700,2.840571,110.297000,0.005758,112.213450,115.356780,2.718714,114.452000,105.702000,2007-08-23,0.000000,2007-08-20,3.000000,false,2007-08-20,3.000000,,0.000000,,0.000000,,0.000000,2007-08-17,6.000000,2007-08-17,6.000000,2007-08-20,3.000000
5,2007-08-28,111.340000,2007-08-30,112.220000,2,2007-08-28,110.699000,0.005757,0.007904,0.013740,0.641000,-0.880000,-1.372855,whipsaw,-0.014359,112.241700,115.051100,2.492000,112.835000,0.001930,112.189950,114.869640,2.326571,113.579000,110.699000,2007-08-30,0.000000,2007-08-30,0.000000,true,,0.000000,,0.000000,,0.000000,,0.000000,2007-08-30,0.000000,,0.000000,,0.000000
6,2007-09-10,113.040000,2007-09-12,113.670000,2,2007-09-10,111.339000,0.015048,0.005573,0.020936,1.701000,-0.630000,-0.370370,good-defensive-exit,-0.002154,112.449800,114.608880,1.735357,113.207000,0.011626,112.723050,114.503540,1.718357,114.536000,111.339000,2007-09-12,0.000000,2007-09-12,0.000000,true,2007-09-12,0.000000,,0.000000,,0.000000,,0.000000,2007-09-12,0.000000,,0.000000,,0.000000
7,2007-11-08,112.370000,2007-12-03,114.310000,25,2007-11-26,108.526000,0.034208,0.017264,0.053296,3.844000,-1.940000,-0.504683,good-defensive-exit,-0.050353,113.894000,116.483120,2.463786,115.263000,-0.005340,112.703400,116.099420,2.254214,115.627000,108.526000,2007-12-03,0.000000,2007-11-14,19.000000,false,2007-11-14,19.000000,2007-11-29,4.000000,2007-11-29,4.000000,2007-12-03,0.000000,2007-11-14,19.000000,2007-11-14,19.000000,2007-12-03,0.000000
8,2007-12-04,113.150000,2007-12-06,114.680000,2,2007-12-04,112.881000,0.002377,0.013522,0.015937,0.269000,-1.530000,-5.687732,whipsaw,-0.014272,112.560300,116.016900,2.076357,113.828000,0.016454,112.553200,115.957520,2.062929,116.689000,112.881000,2007-12-06,0.000000,2007-12-06,0.000000,true,2007-12-06,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000
9,2007-12-12,116.570000,2007-12-13,114.430000,1,2007-12-12,113.589000,0.025573,-0.018358,0.007404,2.981000,2.140000,0.717880,good-defensive-exit,0.004743,113.177650,115.745040,2.120357,117.094000,0.002372,113.231200,115.672240,2.088214,117.094000,113.589000,2007-12-13,0.000000,,0.000000,false,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000
