symbol,period,bucket,horizon,count,mean_return,median_return,stddev_return,fraction_toward_mean
AUDNZD,development_2015_2025,extreme_negative,12h,3622,0.00015145,0.00012901,0.00272022,0.5218
AUDNZD,development_2015_2025,extreme_negative,24h,3622,0.00015398,0.00005708,0.00403438,0.5064
AUDNZD,development_2015_2025,extreme_negative,48h,3619,0.00034209,0.00006524,0.00545388,0.5062
AUDNZD,development_2015_2025,extreme_negative,4h,3622,0.00015010,0.00013895,0.00174225,0.5414
AUDNZD,development_2015_2025,extreme_positive,12h,3527,-0.00007692,-0.00008371,0.00272618,0.5135
AUDNZD,development_2015_2025,extreme_positive,24h,3526,0.00004889,0.00004541,0.00396612,0.4929
AUDNZD,development_2015_2025,extreme_positive,48h,3526,-0.00011661,-0.00001833,0.00566667,0.5009
AUDNZD,development_2015_2025,extreme_positive,4h,3527,-0.00002695,-0.00005449,0.00168546,0.5143
AUDNZD,development_2015_2025,moderate_negative,12h,13292,0.00006762,0.00000915,0.00269900,0.5003
AUDNZD,development_2015_2025,moderate_negative,24h,13292,0.00003852,-0.00004619,0.00385678,0.4927
AUDNZD,development_2015_2025,moderate_negative,48h,13290,0.00010944,0.00001876,0.00532361,0.5014
AUDNZD,development_2015_2025,moderate_negative,4h,13292,0.00009001,0.00005501,0.00163723,0.5149
AUDNZD,development_2015_2025,moderate_positive,12h,13055,-0.00004486,-0.00006379,0.00270113,0.5107
AUDNZD,development_2015_2025,moderate_positive,24h,13047,-0.00001732,-0.00006394,0.00382086,0.5070
AUDNZD,development_2015_2025,moderate_positive,48h,13046,-0.00007969,-0.00005557,0.00534325,0.5055
AUDNZD,development_2015_2025,moderate_positive,4h,13062,-0.00005294,-0.00005698,0.00159481,0.5195
AUDNZD,development_2015_2025,neutral,12h,28659,0.00000788,-0.00003738,0.00280638,0.4950
AUDNZD,development_2015_2025,neutral,24h,28656,0.00002103,-0.00002761,0.00387713,0.4943
AUDNZD,development_2015_2025,neutral,48h,28638,0.00007012,0.00005578,0.00552388,0.5018
AUDNZD,development_2015_2025,neutral,4h,28660,-0.00002348,-0.00003742,0.00161850,0.4979
AUDUSD,development_2015_2025,extreme_negative,12h,3942,0.00002357,-0.00009758,0.00511651,0.4929
AUDUSD,development_2015_2025,extreme_negative,24h,3942,0.00021944,0.00010716,0.00681823,0.5071
AUDUSD,development_2015_2025,extreme_negative,48h,3942,-0.00004271,-0.00007033,0.00950884,0.4947
AUDUSD,development_2015_2025,extreme_negative,4h,3948,0.00005749,0.00005477,0.00297182,0.5089
AUDUSD,development_2015_2025,extreme_positive,12h,3795,-0.00043668,-0.00033192,0.00452947,0.5439
AUDUSD,development_2015_2025,extreme_positive,24h,3795,-0.00061872,-0.00041469,0.00632222,0.5270
AUDUSD,development_2015_2025,extreme_positive,48h,3791,-0.00064775,-0.00054545,0.00888063,0.5284
AUDUSD,development_2015_2025,extreme_positive,4h,3795,-0.00014710,-0.00012743,0.00278532,0.5246
AUDUSD,development_2015_2025,moderate_negative,12h,12840,0.00006334,0.00012261,0.00467332,0.5112
AUDUSD,development_2015_2025,moderate_negative,24h,12837,0.00016278,0.00012704,0.00648498,0.5078
AUDUSD,development_2015_2025,moderate_negative,48h,12833,0.00016951,0.00009456,0.00912629,0.5047
AUDUSD,development_2015_2025,moderate_negative,4h,12842,-0.00002929,0.00003934,0.00276182,0.5065
AUDUSD,development_2015_2025,moderate_positive,12h,13204,-0.00015465,-0.00005896,0.00457410,0.5064
AUDUSD,development_2015_2025,moderate_positive,24h,13204,-0.00023121,-0.00001312,0.00639865,0.5002
AUDUSD,development_2015_2025,moderate_positive,48h,13197,-0.00028324,-0.00006638,0.00873410,0.5034
AUDUSD,development_2015_2025,moderate_positive,4h,13204,-0.00007554,-0.00009208,0.00261614,0.5198
AUDUSD,development_2015_2025,neutral,12h,28372,0.00000945,0.00006643,0.00461067,0.5001
AUDUSD,development_2015_2025,neutral,24h,28363,-0.00009104,0.00002953,0.00644089,0.5013
AUDUSD,development_2015_2025,neutral,48h,28354,-0.00021098,-0.00016113,0.00896965,0.4975
AUDUSD,development_2015_2025,neutral,4h,28372,0.00003006,0.00005938,0.00268396,0.5028
EURCHF,development_2015_2025,extreme_negative,12h,4261,0.00001816,0.00008242,0.00365742,0.5177
EURCHF,development_2015_2025,extreme_negative,24h,4261,-0.00001747,0.00011755,0.00483507,0.5224
EURCHF,development_2015_2025,extreme_negative,48h,4261,-0.00004618,0.00016663,0.00629657,0.5149
EURCHF,development_2015_2025,extreme_negative,4h,4261,0.00004018,0.00006498,0.00261897,0.5222
EURCHF,development_2015_2025,extreme_positive,12h,4168,-0.00018059,-0.00012942,0.00237148,0.5321
EURCHF,development_2015_2025,extreme_positive,24h,4167,-0.00012422,-0.00019572,0.00343489,0.5275
EURCHF,development_2015_2025,extreme_positive,48h,4163,-0.00021631,-0.00046405,0.00481647,0.5482
EURCHF,development_2015_2025,extreme_positive,4h,4169,-0.00012616,-0.00012965,0.00172623,0.5464
EURCHF,development_2015_2025,moderate_negative,12h,11517,0.00015604,0.00015830,0.00249858,0.5426
EURCHF,development_2015_2025,moderate_negative,24h,11514,-0.00000001,0.00006472,0.00389467,0.5094
EURCHF,development_2015_2025,moderate_negative,48h,11514,0.00007961,0.00010228,0.00533503,0.5139
EURCHF,development_2015_2025,moderate_negative,4h,11520,0.00005010,0.00007266,0.00166860,0.5348
EURCHF,development_2015_2025,moderate_positive,12h,11598,-0.00014931,-0.00012202,0.00228196,0.5307
EURCHF,development_2015_2025,moderate_positive,24h,11598,-0.00013488,-0.00016767,0.00354629,0.5267
EURCHF,development_2015_2025,moderate_positive,48h,11596,-0.00020398,-0.00033591,0.00491579,0.5352
EURCHF,development_2015_2025,moderate_positive,4h,11600,-0.00010126,-0.00007406,0.00140807,0.5314
EURCHF,development_2015_2025,neutral,12h,30615,-0.00006543,0.00000000,0.00373022,0.5077
EURCHF,development_2015_2025,neutral,24h,30607,-0.00009989,-0.00004049,0.00516148,0.5097
EURCHF,development_2015_2025,neutral,48h,30589,-0.00025577,-0.00016917,0.00756023,0.5127
EURCHF,development_2015_2025,neutral,4h,30617,0.00000276,0.00002769,0.00203450,0.5061
EURGBP,development_2015_2025,extreme_negative,12h,4550,0.00005536,0.00007174,0.00325007,0.5134
EURGBP,development_2015_2025,extreme_negative,24h,4550,0.00016950,0.00000561,0.00481195,0.5000
EURGBP,development_2015_2025,extreme_negative,48h,4549,0.00022997,0.00001302,0.00667691,0.5008
EURGBP,development_2015_2025,extreme_negative,4h,4554,0.00001794,0.00003389,0.00234100,0.5070
EURGBP,development_2015_2025,extreme_positive,12h,4496,-0.00009698,-0.00015667,0.00393589,0.5265
EURGBP,development_2015_2025,extreme_positive,24h,4496,-0.00008186,-0.00023447,0.00521743,0.5236
EURGBP,development_2015_2025,extreme_positive,48h,4496,-0.00023326,-0.00041178,0.00717598,0.5289
EURGBP,development_2015_2025,extreme_positive,4h,4497,-0.00009782,-0.00014012,0.00272531,0.5299
EURGBP,development_2015_2025,moderate_negative,12h,11398,0.00013131,0.00010759,0.00325747,0.5208
EURGBP,development_2015_2025,moderate_negative,24h,11398,0.00006721,-0.00004753,0.00476236,0.4939
EURGBP,development_2015_2025,moderate_negative,48h,11397,0.00016567,-0.00011087,0.00676726,0.4914
EURGBP,development_2015_2025,moderate_negative,4h,11398,0.00007855,0.00006867,0.00198166,0.5257
EURGBP,development_2015_2025,moderate_positive,12h,10870,-0.00004289,-0.00016976,0.00350101,0.5313
EURGBP,development_2015_2025,moderate_positive,24h,10868,-0.00001856,-0.00026070,0.00500561,0.5293
EURGBP,development_2015_2025,moderate_positive,48h,10864,0.00005861,-0.00031704,0.00723915,0.5253
