# schema=raw-v1 source=oanda instrument=EURUSD tf=h1 year=2024 month=01
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2024-01-07T22:00:00Z,1.10000,1.10040,1.09970,1.10015,1.10002,1.10042,1.09972,1.10017,101,true
2024-01-07T23:00:00Z,1.10015,1.10055,1.09985,1.10030,1.10017,1.10057,1.09987,1.10032,101,true
2024-01-08T00:00:00Z,1.10030,1.10070,1.10000,1.10045,1.10032,1.10072,1.10002,1.10047,101,true
2024-01-08T01:00:00Z,1.10045,1.10085,1.10015,1.10060,1.10047,1.10087,1.10017,1.10062,101,true
2024-01-08T02:00:00Z,1.10060,1.10100,1.10030,1.10075,1.10062,1.10102,1.10032,1.10077,101,true
2024-01-08T03:00:00Z,1.10075,1.10115,1.10045,1.10090,1.10077,1.10117,1.10047,1.10092,101,true
2024-01-08T04:00:00Z,1.10090,1.10130,1.10060,1.10105,1.10092,1.10132,1.10062,1.10107,101,true
2024-01-08T05:00:00Z,1.10105,1.10145,1.10075,1.10120,1.10107,1.10147,1.10077,1.10122,101,true
2024-01-08T06:00:00Z,1.10120,1.10160,1.10090,1.10135,1.10122,1.10162,1.10092,1.10137,101,true
2024-01-08T07:00:00Z,1.10135,1.10175,1.10105,1.10150,1.10137,1.10177,1.10107,1.10152,101,true
2024-01-08T08:00:00Z,1.10150,1.10190,1.10120,1.10165,1.10152,1.10192,1.10122,1.10167,101,true
2024-01-08T09:00:00Z,1.10165,1.10205,1.10135,1.10180,1.10167,1.10207,1.10137,1.10182,101,true
2024-01-08T10:00:00Z,1.10180,1.10220,1.10150,1.10195,1.10182,1.10222,1.10152,1.10197,101,true
2024-01-08T11:00:00Z,1.10195,1.10235,1.10165,1.10210,1.10197,1.10237,1.10167,1.10212,101,true
2024-01-08T12:00:00Z,1.10210,1.10250,1.10180,1.10225,1.10212,1.10252,1.10182,1.10227,101,true
2024-01-08T13:00:00Z,1.10225,1.10265,1.10195,1.10240,1.10227,1.10267,1.10197,1.10242,101,true
2024-01-08T14:00:00Z,1.10240,1.10280,1.10210,1.10255,1.10242,1.10282,1.10212,1.10257,101,true
2024-01-08T15:00:00Z,1.10255,1.10295,1.10225,1.10270,1.10257,1.10297,1.10227,1.10272,101,true
2024-01-08T16:00:00Z,1.10270,1.10310,1.10240,1.10285,1.10272,1.10312,1.10242,1.10287,101,true
2024-01-08T17:00:00Z,1.10285,1.10325,1.10255,1.10300,1.10287,1.10327,1.10257,1.10302,101,true
2024-01-08T18:00:00Z,1.10300,1.10340,1.10270,1.10315,1.10302,1.10342,1.10272,1.10317,101,true
2024-01-08T19:00:00Z,1.10315,1.10355,1.10285,1.10330,1.10317,1.10357,1.10287,1.10332,101,true
2024-01-08T20:00:00Z,1.10330,1.10370,1.10300,1.10345,1.10332,1.10372,1.10302,1.10347,101,true
2024-01-08T21:00:00Z,1.10345,1.10385,1.10315,1.10360,1.10347,1.10387,1.10317,1.10362,101,true
2024-01-08T22:00:00Z,1.10360,1.10400,1.10330,1.10375,1.10362,1.10402,1.10332,1.10377,102,true
2024-01-08T23:00:00Z,1.10375,1.10415,1.10345,1.10390,1.10377,1.10417,1.10347,1.10392,102,true
2024-01-09T00:00:00Z,1.10390,1.10430,1.10360,1.10405,1.10392,1.10432,1.10362,1.10407,102,true
2024-01-09T01:00:00Z,1.10405,1.10445,1.10375,1.10420,1.10407,1.10447,1.10377,1.10422,102,true
2024-01-09T02:00:00Z,1.10420,1.10460,1.10390,1.10435,1.10422,1.10462,1.10392,1.10437,102,true
2024-01-09T03:00:00Z,1.10435,1.10475,1.10405,1.10450,1.10437,1.10477,1.10407,1.10452,102,true
2024-01-09T04:00:00Z,1.10450,1.10490,1.10420,1.10465,1.10452,1.10492,1.10422,1.10467,102,true
2024-01-09T05:00:00Z,1.10465,1.10505,1.10435,1.10480,1.10467,1.10507,1.10437,1.10482,102,true
2024-01-09T06:00:00Z,1.10480,1.10520,1.10450,1.10495,1.10482,1.10522,1.10452,1.10497,102,true
2024-01-09T07:00:00Z,1.10495,1.10535,1.10465,1.10510,1.10497,1.10537,1.10467,1.10512,102,true
2024-01-09T08:00:00Z,1.10510,1.10550,1.10480,1.10525,1.10512,1.10552,1.10482,1.10527,102,true
2024-01-09T09:00:00Z,1.10525,1.10565,1.10495,1.10540,1.10527,1.10567,1.10497,1.10542,102,true
2024-01-09T10:00:00Z,1.10540,1.10580,1.10510,1.10555,1.10542,1.10582,1.10512,1.10557,102,true
2024-01-09T11:00:00Z,1.10555,1.10595,1.10525,1.10570,1.10557,1.10597,1.10527,1.10572,102,true
2024-01-09T12:00:00Z,1.10570,1.10610,1.10540,1.10585,1.10572,1.10612,1.10542,1.10587,102,true
2024-01-09T13:00:00Z,1.10585,1.10625,1.10555,1.10600,1.10587,1.10627,1.10557,1.10602,102,true
2024-01-09T14:00:00Z,1.10600,1.10640,1.10570,1.10615,1.10602,1.10642,1.10572,1.10617,102,true
2024-01-09T15:00:00Z,1.10615,1.10655,1.10585,1.10630,1.10617,1.10657,1.10587,1.10632,102,true
2024-01-09T16:00:00Z,1.10630,1.10670,1.10600,1.10645,1.10632,1.10672,1.10602,1.10647,102,true
2024-01-09T17:00:00Z,1.10645,1.10685,1.10615,1.10660,1.10647,1.10687,1.10617,1.10662,102,true
2024-01-09T18:00:00Z,1.10660,1.10700,1.10630,1.10675,1.10662,1.10702,1.10632,1.10677,102,true
2024-01-09T19:00:00Z,1.10675,1.10715,1.10645,1.10690,1.10677,1.10717,1.10647,1.10692,102,true
