# schema=raw-v1 source=oanda instrument=EURUSD tf=h1 year=2024 month=03
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2024-03-04T00:00:00Z,1.10040,1.10065,1.10010,1.10040,1.10042,1.10067,1.10012,1.10042,101,true
2024-03-04T01:00:00Z,1.10040,1.10065,1.10000,1.10030,1.10042,1.10067,1.10002,1.10032,101,true
2024-03-04T02:00:00Z,1.10030,1.10055,1.09990,1.10020,1.10032,1.10057,1.09992,1.10022,101,true
2024-03-04T03:00:00Z,1.10020,1.10045,1.09980,1.10010,1.10022,1.10047,1.09982,1.10012,101,true
2024-03-04T04:00:00Z,1.10010,1.10035,1.09970,1.10000,1.10012,1.10037,1.09972,1.10002,101,true
2024-03-04T05:00:00Z,1.10000,1.10035,1.09970,1.10010,1.10002,1.10037,1.09972,1.10012,101,true
2024-03-04T06:00:00Z,1.10010,1.10065,1.09980,1.10040,1.10012,1.10067,1.09982,1.10042,101,true
2024-03-04T07:00:00Z,1.10040,1.10105,1.10010,1.10080,1.10042,1.10107,1.10012,1.10082,101,true
2024-03-04T08:00:00Z,1.10080,1.10145,1.10050,1.10120,1.10082,1.10147,1.10052,1.10122,101,true
2024-03-04T09:00:00Z,1.10120,1.10145,1.10070,1.10100,1.10122,1.10147,1.10072,1.10102,101,true
2024-03-04T10:00:00Z,1.10100,1.10125,1.10020,1.10050,1.10102,1.10127,1.10022,1.10052,101,true
2024-03-04T11:00:00Z,1.10050,1.10075,1.09970,1.10000,1.10052,1.10077,1.09972,1.10002,101,true
2024-03-04T12:00:00Z,1.10000,1.10025,1.09920,1.09950,1.10002,1.10027,1.09922,1.09952,101,true
2024-03-04T13:00:00Z,1.09950,1.09975,1.09870,1.09900,1.09952,1.09977,1.09872,1.09902,101,true
