# schema=raw-v1 source=oanda instrument=EURUSD tf=d1 year=2024 month=01
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2024-01-08T22:00:00Z,1.10000,1.10000,1.10000,1.10000,1.10002,1.10002,1.10002,1.10002,1000,true
2024-01-09T22:00:00Z,1.10000,1.10000,1.10000,1.10000,1.10002,1.10002,1.10002,1.10002,1000,true
2024-01-10T22:00:00Z,1.10000,1.10000,1.09000,1.09000,1.10002,1.10002,1.09002,1.09002,1000,true
2024-01-11T22:00:00Z,1.09000,1.11000,1.09000,1.11000,1.09002,1.11002,1.09002,1.11002,1000,true
2024-01-12T22:00:00Z,1.11500,1.20000,1.10000,1.15000,1.11502,1.20002,1.10002,1.15002,1000,true
2024-01-15T22:00:00Z,1.16000,1.30000,1.15000,1.28000,1.16002,1.30002,1.15002,1.28002,1000,true
2024-01-16T22:00:00Z,1.25000,1.26000,1.10000,1.15000,1.25002,1.26002,1.10002,1.15002,1000,true
2024-01-17T22:00:00Z,1.15000,1.15000,1.05000,1.05000,1.15002,1.15002,1.05002,1.05002,1000,true
2024-01-18T22:00:00Z,1.05000,1.20000,1.05000,1.20000,1.05002,1.20002,1.05002,1.20002,1000,true
2024-01-19T22:00:00Z,1.21000,1.22000,1.19000,1.20000,1.21002,1.22002,1.19002,1.20002,1000,true
2024-01-22T22:00:00Z,1.05000,1.06000,1.00000,1.02000,1.05002,1.06002,1.00002,1.02002,1000,true
